ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
265,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900003014.ProductionInstallation",2017,"471"
266,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026012.ProductionInstallation",2017,"473"
267,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005283.ProductionInstallation",2017,"414"
268,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005284.ProductionInstallation",2017,"400"
269,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005312.ProductionInstallation",2017,"37631011"
270,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0800000404.ProductionInstallation",2017,"37631011"
271,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026804.ProductionInstallation",2017,"37631011"
272,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005342.ProductionInstallation",2017,"204524"
273,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005343.ProductionInstallation",2017,"397"
274,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005346.ProductionInstallation",2017,"417"
275,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1200000076.ProductionInstallation",2017,"146"
276,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1901000099.ProductionInstallation",2017,"146"
277,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005437.ProductionInstallation",2017,"431"
278,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005503.ProductionInstallation",2017,"403"
279,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005540.ProductionInstallation",2017,"402"
280,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005550.ProductionInstallation",2017,"189"
281,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013243.ProductionInstallation",2017,"434"
282,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005591.ProductionInstallation",2017,"463"
283,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0100000052.ProductionInstallation",2017,"463"
284,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0100000760.ProductionInstallation",2017,"463"
285,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005677.ProductionInstallation",2017,"424"
286,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005679.ProductionInstallation",2017,"532"
