fileId_EUReg,fileId_EPRTR_LCP,Parent_Installation_INSPIRE_ID,Installation_Part_INSPIRE_ID,ProductionInstallationPart_thematicId,ProductionInstallationPart_thematicIdScheme,nameOfFeature,installationPartName_confidentialityReasonCode,installationPartName_confidentialityReasonName,plantType,pointGeometryLat,pointGeometryLon,dateOfStartOfOperation,publicDisclosure,combustionPlantCategory,totalRatedThermalInput,withinRefinery,untreatedMunicipalWaste,heatReleaseHazardousWaste,totalNominalCapacityAnyWasteType,permittedCapacityHazardous,permittedCapacityNonHazardous,confidentialityReasonCode,confidentialityReasonName,publicDisclosureURL
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009175.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009175.ProductionInstallationPart","9175","YLVA.OSIO","Kattila 1, 44 MW ; Kattila 2, 44 MW",,,"LCP","60.20218","24.64801","01/01/91 00:00:00",,"Boiler",88,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009261.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009261.ProductionInstallationPart","9261","YLVA.OSIO","Kattila 4, 42 MW ; Kattila 5, 42 MW",,,"LCP","60.31838","25.05712","12/31/87 00:00:00",,"Boiler",84,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009298.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009298.ProductionInstallationPart","9298","YLVA.OSIO","Kattila 1, 28 MW ; Kattila 2, 43 MW",,,"LCP","60.65219","24.84666","01/01/86 00:00:00",,"Boiler",71,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009598.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009598.ProductionInstallationPart","9598","YLVA.OSIO","Kattila K1 (49 MW) ; Kattila K3 (25,1 MW)",,,"LCP","61.18456","26.06501","08/24/04 00:00:00",,"Boiler",71.3,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010005.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010005.ProductionInstallationPart","10005","YLVA.OSIO","Päähöyrykattila 120 MW (PR2) ilmapäästöt",,,"LCP","61.17907","26.08137","01/01/84 00:00:00",,"Boiler",120,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010249.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010249.ProductionInstallationPart","10249","YLVA.OSIO","6Kaasuturbiini  A 1 (130 MW)",,,"LCP","60.97445","24.50542","01/01/89 00:00:00",,"GasTurbine",130,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010250.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010250.ProductionInstallationPart","10250","YLVA.OSIO","Kaasuturbiini (170 MW)",,,"LCP","60.97335","24.502","01/01/70 00:00:00",,"GasTurbine",170,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010438.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010438.ProductionInstallationPart","10438","YLVA.OSIO","2 Kaasuturbiini",,,"LCP","60.99101","25.72008","01/01/86 00:00:00",,"GasTurbine",150,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010552.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010552.ProductionInstallationPart","10552","YLVA.OSIO","Kattilan K4 päästöt ilmaan",,,"LCP","61.47344","23.49659","03/01/75 00:00:00",,"Boiler",71,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010553.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010553.ProductionInstallationPart","10553","YLVA.OSIO","Kattilan K5 päästöt ilmaan",,,"LCP","61.47344","23.49659","08/01/97 00:00:00",,"Boiler",180,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010604.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010604.ProductionInstallationPart","10604","YLVA.PISTE","1Polttolinja, päästöt ilmaan",,,"WI","60.77227","24.83237","01/01/84 00:00:00",,"Boiler",,0,0,0,20,10,10,,,"https://www.ymparisto.fi/fi-FI/Asiointi_luvat_ja_ymparistovaikutusten_arviointi/Luvat_ilmoitukset_ja_rekisterointi/Ymparistolupa/Valvonta"
6860,5372,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010700.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010700.ProductionInstallationPart","10700","YLVA.OSIO","NSL 1 Kaasuturbiinin ilmapäästöt",,,"LCP","61.50999","23.77675","01/01/00 00:00:00",,"GasTurbine",300,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010742.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000010742.ProductionInstallationPart","10742","YLVA.OSIO","P3  Kaasuturbiini 1",,,"LCP","61.51025","23.6752","09/20/88 00:00:00",,"GasTurbine",168,0,0,0,,,,,,
